Car pool - car_pool Not In 2-98

Trip 2011
ROW : gta06_orig
COLUMN : gta06_dest
  gta06_orig  gta06_dest      total
        7013        7014         51
        7013        7015         30
        7013        7017         32
        7013        7018         27
        7013        7020         29
        7013        7021        161
        7013        7024         98
        7013        7025         39
        7013        7026        222
        7013        7028        133
        7013        7029         93
        7013        7030         14
        7013        7031         22
        7013        7032         16
        7013        7033         21
        7013        7034         62
        7013        7035         67
        7013        7036         18
        7013        7037         10
        7013        7038         13
        7013        7039        138
        7013        7042         78
        7013        7049         67
        7013        7050         31
        7013        7051         44
        7013        7053         32
        7013        7054         52
        7013        7056         21
        7013        7057         38
        7013        7059        130
        7013        7062         13
        7013        7066         41
        7013        7068         20
        7013        7097         16
        7013        7100         27
        7013        7101         27
        7013        7105         84
        7013        7106         76
        7013        7109         18
        7013        7110         44
        7013        7111         12
        7013        7113         22
        7013        7115         26
        7013        7116         23
        7013        7117         65
        7013        7121         29
        7013        7124          9
        7013        7125         32
        7013        7248         15
        7013        7249         22
        7013        7255         55
        7013        7256         76
        7013        7257         70
        7013        7258         26
        7013        7458         64
        7013        7464         14
        7013        7544         33
        7013        7572         32
        7014        7002         40
        7014        7003         16
        7014        7008         31
        7014        7010         32
        7014        7013         51
        7014        7015         48
        7014        7017         16
        7014        7019         16
        7014        7020         36
        7014        7021         28
        7014        7022         16
        7014        7024         21
        7014        7026         15
        7014        7038         12
        7014        7039         32
        7014        7042         32
        7014        7043         16
        7014        7046         16
        7014        7049         32
        7014        7052         16
        7014        7056         39
        7014        7059         25
        7014        7094         12
        7014        7098         72
        7014        7105         60
        7014        7106         20
        7014        7110         21
        7014        7112         16
        7014        7117         32
        7014        7118         21
        7014        7122         31
        7014        7259         18
        7015        7013         15
        7015        7014         48
        7015        7024         28
        7015        7025         55
        7015        7039         27
        7015        7042         27
        7015        7062         32
        7015        7544         39
        7016        7002         45
        7016        7004         21
        7016        7006         49
        7016        7021         20
        7016        7023         22
        7016        7025         15
        7016        7026         21
        7016        7029         18
        7016        7033         16
        7016        7036         18
        7016        7039         27
        7016        7049         18
        7016        7056         10
        7016        7059         65
        7016        7248         15
        7016        7249         15
        7016        7458         13
        7016        7557         10
        7017        7001         15
        7017        7002         62
        7017        7005         12
        7017        7006         78
        7017        7008         15
        7017        7009         29
        7017        7010         18
        7017        7013         45
        7017        7014         16
        7017        7016         14
        7017        7024         45
        7017        7026         77
        7017        7028         73
        7017        7029         30
        7017        7032         18
        7017        7033         24
        7017        7034         18
        7017        7035         27
        7017        7039         10
        7017        7042         32
        7017        7049         32
        7017        7051         21
        7017        7054         22
        7017        7056         25
        7017        7101         46
        7017        7106         27
        7017        7244         21
        7017        7247         21
        7017        7248         52
        7017        7249         13
        7017        7257         13
        7017        7262         27
        7017        7458         21
        7018        7002         32
        7018        7003         19
        7018        7006         16
        7018        7007         23
        7018        7008         15
        7018        7026         15
        7018        7034         18
        7018        7253         15
        7019        7001         33
        7019        7002         99
        7019        7006         40
        7019        7008         16
        7019        7013         15
        7019        7014         16
        7019        7020         22
        7019        7024         36
        7019        7026         72
        7019        7029         21
        7019        7045         18
        7019        7050         15
        7019        7053         19
        7019        7054         10
        7019        7057         27
        7019        7059         40
        7019        7060         16
        7019        7115         13
        7019        7117         10
        7019        7246         12
        7019        7248         15
        7019        7253         12
        7019        7256         34
        7019        7257         13
        7019        7260         12
        7019        7458         14
        7020        7002         21
        7020        7004         16
        7020        7005         16
        7020        7006         63
        7020        7007         17
        7020        7008         43
        7020        7009         12
        7020        7010         13
        7020        7011         31
        7020        7014         21
        7020        7016         15
        7020        7021         24
        7020        7025         73
        7020        7026         55
        7020        7028         51
        7020        7029         62
        7020        7031         19
        7020        7034         27
        7020        7037         27
        7020        7042         68
        7020        7051         45
        7020        7052         10
        7020        7054         27
        7020        7059         16
        7020        7101         15
        7020        7105         16
        7020        7108         10
        7020        7112         32
        7020        7117         49
        7020        7124         29
        7020        7126         19
        7020        7128         16
        7020        7254         18
        7020        7255         10
        7020        7257         47
        7020        7262         27
        7020        7292         16
        7020        7464         14
        7020        7544         12
        7021        7001         21
        7021        7002        127
        7021        7006         92
        7021        7007         20
        7021        7008         52
        7021        7009         12
        7021        7013        188
        7021        7014         25
        7021        7016         20
        7021        7019         10
